Date,Symbol,Open,Close
2019-02-13,TATAMOTORS,152.95,155.0
2019-02-14,TATAMOTORS,155.95,159.85
2019-02-15,TATAMOTORS,159.8,161.65
2019-02-18,TATAMOTORS,162.8,162.9
2019-02-19,TATAMOTORS,164.0,163.75
2019-02-20,TATAMOTORS,164.45,164.8
2019-02-21,TATAMOTORS,165.6,169.7
2019-02-22,TATAMOTORS,170.0,174.3
2019-02-25,TATAMOTORS,175.15,175.75
2019-02-26,TATAMOTORS,173.0,182.65
2019-02-27,TATAMOTORS,183.55,177.35
2019-02-28,TATAMOTORS,180.0,177.45
2019-03-01,TATAMOTORS,178.65,180.3
2019-03-05,TATAMOTORS,183.8,194.05
2019-03-06,TATAMOTORS,195.4,188.8
2019-03-07,TATAMOTORS,191.4,189.3
2019-03-08,TATAMOTORS,187.8,181.2
2019-03-11,TATAMOTORS,182.0,181.85
2019-03-12,TATAMOTORS,184.4,184.8
2019-03-13,TATAMOTORS,184.45,181.7
2019-03-14,TATAMOTORS,181.5,179.55
2019-03-15,TATAMOTORS,180.2,180.0
2019-03-18,TATAMOTORS,181.0,182.25
2019-03-19,TATAMOTORS,182.0,182.85
2019-03-20,TATAMOTORS,183.0,180.2
2019-03-22,TATAMOTORS,181.95,175.4
2019-03-25,TATAMOTORS,173.7,171.3
2019-03-26,TATAMOTORS,171.9,173.1
2019-03-27,TATAMOTORS,174.0,169.85
2019-03-28,TATAMOTORS,169.0,170.55
2019-03-29,TATAMOTORS,171.15,174.25
2019-04-01,TATAMOTORS,176.35,187.35
2019-04-02,TATAMOTORS,188.05,202.95
2019-04-03,TATAMOTORS,205.0,201.35
2019-04-04,TATAMOTORS,201.85,206.15
2019-04-05,TATAMOTORS,208.0,205.15
2019-04-08,TATAMOTORS,206.0,200.55
2019-04-09,TATAMOTORS,200.0,205.9
2019-04-10,TATAMOTORS,206.0,216.05
2019-04-11,TATAMOTORS,216.6,218.2
2019-04-12,TATAMOTORS,218.95,215.95
2019-04-15,TATAMOTORS,217.15,231.75
2019-04-16,TATAMOTORS,233.8,230.5
2019-04-18,TATAMOTORS,231.9,236.25
2019-04-22,TATAMOTORS,235.0,234.85
2019-04-23,TATAMOTORS,235.0,231.65
2019-04-24,TATAMOTORS,231.65,223.6
2019-04-25,TATAMOTORS,223.4,221.85
2019-04-26,TATAMOTORS,221.9,215.6
2019-04-30,TATAMOTORS,216.2,214.3
2019-05-02,TATAMOTORS,211.0,207.3
2019-05-03,TATAMOTORS,205.0,209.45
2019-05-06,TATAMOTORS,204.0,199.8
2019-05-07,TATAMOTORS,201.7,190.95
2019-05-08,TATAMOTORS,190.0,185.1
2019-05-09,TATAMOTORS,184.3,186.35
2019-05-10,TATAMOTORS,187.0,185.9
2019-05-13,TATAMOTORS,186.2,180.75
2019-05-14,TATAMOTORS,178.25,184.5
2019-05-15,TATAMOTORS,185.55,169.45
2019-05-16,TATAMOTORS,176.0,175.4
2019-05-17,TATAMOTORS,174.95,176.85
2019-05-20,TATAMOTORS,181.45,190.15
2019-05-21,TATAMOTORS,185.25,176.8
2019-05-22,TATAMOTORS,177.6,179.1
2019-05-23,TATAMOTORS,182.85,175.15
2019-05-24,TATAMOTORS,177.0,182.3
2019-05-27,TATAMOTORS,181.75,181.35
2019-05-28,TATAMOTORS,181.35,180.25
2019-05-29,TATAMOTORS,179.85,176.35
2019-05-30,TATAMOTORS,177.5,175.15
2019-05-31,TATAMOTORS,177.8,172.6
2019-06-03,TATAMOTORS,170.5,174.5
2019-06-04,TATAMOTORS,174.25,173.25
2019-06-06,TATAMOTORS,174.05,169.7
2019-06-07,TATAMOTORS,169.9,169.5
2019-06-10,TATAMOTORS,170.9,166.2
2019-06-11,TATAMOTORS,166.85,170.75
2019-06-12,TATAMOTORS,170.9,169.05
2019-06-13,TATAMOTORS,166.9,167.4
2019-06-14,TATAMOTORS,167.5,164.2
2019-06-17,TATAMOTORS,163.75,158.75
2019-06-18,TATAMOTORS,159.0,158.3
2019-06-19,TATAMOTORS,160.0,154.65
2019-06-20,TATAMOTORS,153.45,159.25
2019-06-21,TATAMOTORS,155.0,158.9
2019-06-24,TATAMOTORS,158.7,159.3
2019-06-25,TATAMOTORS,158.0,160.45
2019-06-26,TATAMOTORS,160.1,161.1
2019-06-27,TATAMOTORS,161.85,165.85
2019-06-28,TATAMOTORS,165.2,162.55
2019-07-01,TATAMOTORS,163.7,168.0
2019-07-02,TATAMOTORS,166.8,163.75
2019-07-03,TATAMOTORS,163.75,162.3
2019-07-04,TATAMOTORS,162.5,165.2
2019-07-05,TATAMOTORS,165.15,160.2
2019-07-08,TATAMOTORS,159.35,154.55
2019-07-09,TATAMOTORS,154.0,155.8
2019-07-10,TATAMOTORS,156.25,151.65
2019-07-11,TATAMOTORS,153.0,156.8
2019-07-12,TATAMOTORS,155.9,159.3
2019-07-15,TATAMOTORS,159.0,160.95
2019-07-16,TATAMOTORS,159.8,170.0
2019-07-17,TATAMOTORS,170.0,167.9
2019-07-18,TATAMOTORS,167.25,160.75
2019-07-19,TATAMOTORS,161.45,154.85
2019-07-22,TATAMOTORS,155.45,156.75
2019-07-23,TATAMOTORS,157.4,156.2
2019-07-24,TATAMOTORS,156.35,151.25
2019-07-25,TATAMOTORS,151.3,144.3
2019-07-26,TATAMOTORS,138.1,147.15
2019-07-29,TATAMOTORS,146.9,137.55
2019-07-30,TATAMOTORS,138.0,133.45
2019-07-31,TATAMOTORS,133.5,135.6
2019-08-01,TATAMOTORS,135.5,129.55
2019-08-02,TATAMOTORS,128.5,130.7
2019-08-05,TATAMOTORS,128.0,123.75
2019-08-06,TATAMOTORS,123.05,122.5
2019-08-07,TATAMOTORS,122.6,117.4
2019-08-08,TATAMOTORS,118.0,124.05
2019-08-09,TATAMOTORS,124.5,122.05
2019-08-13,TATAMOTORS,123.8,121.95
2019-08-14,TATAMOTORS,122.7,120.9
2019-08-16,TATAMOTORS,119.9,121.35
2019-08-19,TATAMOTORS,121.2,120.8
2019-08-20,TATAMOTORS,120.0,123.85
2019-08-21,TATAMOTORS,123.0,112.4
2019-08-22,TATAMOTORS,112.0,107.7
2019-08-23,TATAMOTORS,108.9,111.05
2019-08-26,TATAMOTORS,114.55,110.55
2019-08-27,TATAMOTORS,112.7,120.35
2019-08-28,TATAMOTORS,120.55,116.35
2019-08-29,TATAMOTORS,116.5,114.3
2019-08-30,TATAMOTORS,115.6,116.7
2019-09-03,TATAMOTORS,113.05,112.65
2019-09-04,TATAMOTORS,112.0,109.5
2019-09-05,TATAMOTORS,109.75,118.05
2019-09-06,TATAMOTORS,118.35,121.25
2019-09-09,TATAMOTORS,119.0,121.9
2019-09-11,TATAMOTORS,127.0,134.35
2019-09-12,TATAMOTORS,134.6,127.95
2019-09-13,TATAMOTORS,129.2,129.55
2019-09-16,TATAMOTORS,128.0,128.6
2019-09-17,TATAMOTORS,129.0,122.0
2019-09-18,TATAMOTORS,123.05,121.75
2019-09-19,TATAMOTORS,123.5,124.2
2019-09-20,TATAMOTORS,125.0,133.25
2019-09-23,TATAMOTORS,135.0,127.9
2019-09-24,TATAMOTORS,128.05,130.9
2019-09-25,TATAMOTORS,129.9,123.05
2019-09-26,TATAMOTORS,123.9,124.5
2019-09-27,TATAMOTORS,122.0,119.9
2019-09-30,TATAMOTORS,120.65,117.45
2019-10-01,TATAMOTORS,118.0,115.3
2019-10-03,TATAMOTORS,112.65,122.4
2019-10-04,TATAMOTORS,122.8,119.65
2019-10-07,TATAMOTORS,120.25,117.5
2019-10-09,TATAMOTORS,118.5,120.9
2019-10-10,TATAMOTORS,119.3,116.8
2019-10-11,TATAMOTORS,118.05,121.3
2019-10-14,TATAMOTORS,122.6,127.85
2019-10-15,TATAMOTORS,127.1,126.95
2019-10-16,TATAMOTORS,127.3,125.85
2019-10-17,TATAMOTORS,127.1,139.5
2019-10-18,TATAMOTORS,139.0,136.85
2019-10-22,TATAMOTORS,133.35,131.75
2019-10-23,TATAMOTORS,130.45,132.65
2019-10-24,TATAMOTORS,133.0,133.5
2019-10-25,TATAMOTORS,132.0,126.85
2019-10-27,TATAMOTORS,139.5,147.7
2019-10-29,TATAMOTORS,151.9,172.45
2019-10-30,TATAMOTORS,175.0,171.9
2019-10-31,TATAMOTORS,169.8,177.7
2019-11-01,TATAMOTORS,175.2,175.05
2019-11-04,TATAMOTORS,171.6,172.2
2019-11-05,TATAMOTORS,173.25,172.0
2019-11-06,TATAMOTORS,172.0,174.5
2019-11-07,TATAMOTORS,174.7,171.5
2019-11-08,TATAMOTORS,170.75,169.05
2019-11-11,TATAMOTORS,169.2,172.0
2019-11-13,TATAMOTORS,171.5,170.6
2019-11-14,TATAMOTORS,170.2,167.05
2019-11-15,TATAMOTORS,169.0,168.55
2019-11-18,TATAMOTORS,172.1,170.1
2019-11-19,TATAMOTORS,170.8,167.75
2019-11-20,TATAMOTORS,167.75,167.4
2019-11-21,TATAMOTORS,166.95,164.15
2019-11-22,TATAMOTORS,164.9,162.35
2019-11-25,TATAMOTORS,160.7,166.1
2019-11-26,TATAMOTORS,166.65,163.4
2019-11-27,TATAMOTORS,165.3,165.9
2019-11-28,TATAMOTORS,165.75,164.8
2019-11-29,TATAMOTORS,164.8,161.5
2019-12-02,TATAMOTORS,160.95,161.05
2019-12-03,TATAMOTORS,162.95,158.2
2019-12-04,TATAMOTORS,158.5,169.4
2019-12-05,TATAMOTORS,170.35,166.1
2019-12-06,TATAMOTORS,167.0,161.5
2019-12-09,TATAMOTORS,162.0,160.5
2019-12-10,TATAMOTORS,162.15,159.7
2019-12-11,TATAMOTORS,160.4,161.8
2019-12-12,TATAMOTORS,163.45,173.35
2019-12-13,TATAMOTORS,177.25,176.7
2019-12-16,TATAMOTORS,177.0,174.95
2019-12-17,TATAMOTORS,176.0,180.2
2019-12-18,TATAMOTORS,182.1,174.8
2019-12-19,TATAMOTORS,174.65,179.15
2019-12-20,TATAMOTORS,180.4,175.95
2019-12-23,TATAMOTORS,176.85,176.05
2019-12-24,TATAMOTORS,177.65,175.5
2019-12-26,TATAMOTORS,175.9,174.6
2019-12-27,TATAMOTORS,176.0,176.15
2019-12-30,TATAMOTORS,177.2,183.7
2019-12-31,TATAMOTORS,184.0,185.15
2020-01-01,TATAMOTORS,185.15,184.45
2020-01-02,TATAMOTORS,185.0,193.75
2020-01-03,TATAMOTORS,192.9,191.1
2020-01-06,TATAMOTORS,191.0,185.65
2020-01-07,TATAMOTORS,187.0,184.7
2020-01-08,TATAMOTORS,180.2,182.55
2020-01-09,TATAMOTORS,184.85,192.0
2020-01-10,TATAMOTORS,192.0,196.35
2020-01-13,TATAMOTORS,194.75,196.25
2020-01-14,TATAMOTORS,195.7,195.85
2020-01-15,TATAMOTORS,195.0,200.35
2020-01-16,TATAMOTORS,199.5,197.55
2020-01-17,TATAMOTORS,197.25,197.3
2020-01-20,TATAMOTORS,198.0,195.0
2020-01-21,TATAMOTORS,195.5,191.4
2020-01-22,TATAMOTORS,191.95,185.6
2020-01-23,TATAMOTORS,186.75,188.4
2020-01-24,TATAMOTORS,188.0,186.5
2020-01-27,TATAMOTORS,185.7,182.2
2020-01-28,TATAMOTORS,183.9,176.1
2020-01-29,TATAMOTORS,178.8,188.05
2020-01-30,TATAMOTORS,190.95,186.2
2020-01-31,TATAMOTORS,186.3,176.6
2020-02-01,TATAMOTORS,175.4,165.6
2020-02-03,TATAMOTORS,163.5,163.85
2020-02-04,TATAMOTORS,166.55,165.7
2020-02-05,TATAMOTORS,167.4,183.75
2020-02-06,TATAMOTORS,182.0,178.85
2020-02-07,TATAMOTORS,177.4,173.6
2020-02-10,TATAMOTORS,173.2,168.9
2020-02-11,TATAMOTORS,171.85,169.75
2020-02-12,TATAMOTORS,173.0,170.95
2020-02-13,TATAMOTORS,171.35,169.5
2020-02-14,TATAMOTORS,172.0,169.1
2020-02-17,TATAMOTORS,170.4,169.1
2020-02-18,TATAMOTORS,168.0,161.6
2020-02-19,TATAMOTORS,162.85,158.05
2020-02-20,TATAMOTORS,157.95,158.5
2020-02-24,TATAMOTORS,154.0,150.65
2020-02-25,TATAMOTORS,152.2,149.9
2020-02-26,TATAMOTORS,146.9,144.55
2020-02-27,TATAMOTORS,144.15,145.25
2020-02-28,TATAMOTORS,138.85,128.95
2020-03-02,TATAMOTORS,133.0,125.4
2020-03-03,TATAMOTORS,127.5,130.35
2020-03-04,TATAMOTORS,129.6,126.2
2020-03-05,TATAMOTORS,127.55,125.75
2020-03-06,TATAMOTORS,115.0,114.2
2020-03-09,TATAMOTORS,109.0,105.7
2020-03-11,TATAMOTORS,104.85,98.9
2020-03-12,TATAMOTORS,91.1,88.0
2020-03-13,TATAMOTORS,81.9,89.75
2020-03-16,TATAMOTORS,85.6,82.95
2020-03-17,TATAMOTORS,83.05,77.95
2020-03-18,TATAMOTORS,79.9,75.5
2020-03-19,TATAMOTORS,70.0,72.95
2020-03-20,TATAMOTORS,74.0,77.3
2020-03-23,TATAMOTORS,70.0,66.2
2020-03-24,TATAMOTORS,69.9,68.55
2020-03-25,TATAMOTORS,67.75,70.25
2020-03-26,TATAMOTORS,71.45,70.8
2020-03-27,TATAMOTORS,72.05,70.7
2020-03-30,TATAMOTORS,68.8,68.15
2020-03-31,TATAMOTORS,70.6,71.05
2020-04-01,TATAMOTORS,70.5,67.95
2020-04-03,TATAMOTORS,66.9,65.3
2020-04-07,TATAMOTORS,68.55,67.25
2020-04-08,TATAMOTORS,66.5,67.6
2020-04-09,TATAMOTORS,69.6,74.6
2020-04-13,TATAMOTORS,76.0,74.25
2020-04-15,TATAMOTORS,75.4,72.9
2020-04-16,TATAMOTORS,71.75,74.65
2020-04-17,TATAMOTORS,78.3,76.85
2020-04-20,TATAMOTORS,76.85,80.45
